transaction_id,transaction_amount,payment_method,transaction_hour,delivery_time_days,device_type,ip_risk_score,customer_age,customer_region,num_previous_transactions,chargeback_history,account_tenure_days,preferred_language,num_items,discount_applied,cart_abandon_rate,time_on_site_sec,favourite_animal,astrological_sign,lucky_number,browser_theme_color,random_string,browser_version_str,fraudulent
69,6.2,paypal,9,5,desktop,27.7,23,EU,2,0,516,es,1,1,0.485,327,owl,Cancer,46,dark,r_1278,dark_owl,0
70,346.73,apple_pay,13,3,mobile,4.0,62,EU,1,0,2070,fr,3,1,0.197,330,dog,Sagittarius,84,blue,r_4487,blue_dog,0
71,118.36,bank_transfer,4,7,mobile,28.1,44,NA,7,0,36,en,4,0,0.407,68,dog,Capricorn,94,light,r_3208,light_dog,0
72,17.72,apple_pay,21,1,desktop,22.9,63,NA,1,0,3869,en,7,0,0.489,356,rabbit,Pisces,49,dark,r_7727,dark_rabbit,0
73,0.44,bank_transfer,10,1,desktop,10.2,52,EU,1,0,2582,fr,6,0,0.148,241,elephant,Libra,18,dark,r_496,dark_elephant,0
74,135.19,bank_transfer,6,2,mobile,2.7,59,ME,2,0,105,de,1,0,0.368,69,rabbit,Virgo,25,light,r_8781,light_rabbit,0
75,98.17,card,19,2,mobile,27.6,25,EU,3,0,168,en,8,1,0.404,189,cat,Sagittarius,2,blue,r_4566,blue_cat,0
76,104.45,bank_transfer,17,7,mobile,29.1,22,ME,6,0,1213,en,2,0,0.186,294,cat,Aquarius,46,light,r_5265,light_cat,0
77,118.02,paypal,10,7,mobile,26.0,22,EU,3,0,1548,en,2,0,0.474,189,tiger,Libra,28,green,r_2632,green_tiger,0
78,6.15,card,19,7,mobile,9.4,26,EU,1,0,3210,de,2,0,0.403,4,rabbit,Capricorn,16,green,r_7506,green_rabbit,0
79,35.51,card,2,1,desktop,23.6,63,EU,7,0,439,en,6,0,0.25,1,owl,Scorpio,83,dark,r_4205,dark_owl,0
80,9.85,paypal,6,5,mobile,22.7,32,LATAM,3,0,153,it,2,0,0.313,465,tiger,Leo,39,green,r_3145,green_tiger,0
81,159.08,card,3,2,mobile,11.5,36,EU,2,0,4472,fr,8,1,0.169,204,elephant,Sagittarius,13,dark,r_6806,dark_elephant,0
82,78.1,card,18,7,mobile,26.7,28,APAC,3,0,2637,de,3,1,0.202,212,cat,Leo,42,light,r_1718,light_cat,0
83,32.15,paypal,20,1,mobile,11.0,18,EU,5,0,3526,it,2,0,0.497,164,cat,Taurus,62,dark,r_4973,dark_cat,0
84,5.25,apple_pay,17,1,mobile,15.1,61,LATAM,6,0,3839,en,1,0,0.144,284,cat,Libra,5,dark,r_6112,dark_cat,0
85,29.8,bank_transfer,10,5,mobile,5.0,33,EU,5,0,2859,de,6,1,0.682,69,dog,Capricorn,80,blue,r_8210,blue_dog,0
86,31.47,card,13,5,tablet,40.8,60,APAC,5,0,3450,en,8,1,0.081,214,elephant,Aquarius,31,purple,r_7680,purple_elephant,0
87,104.63,card,9,5,mobile,38.1,55,EU,3,0,4341,pt,9,0,0.269,205,cat,Taurus,35,blue,r_9780,blue_cat,0
88,81.19,card,13,1,mobile,15.7,79,NA,2,0,1195,fr,6,0,0.184,271,elephant,Pisces,48,dark,r_9035,dark_elephant,0
89,174.58,card,3,7,mobile,26.7,75,NA,5,0,1360,en,9,1,0.116,240,rabbit,Gemini,8,green,r_4968,green_rabbit,0
90,51.13,card,22,3,mobile,10.9,20,LATAM,3,0,3927,en,1,0,0.127,96,dog,Aquarius,96,dark,r_1877,dark_dog,0
91,10.19,google_pay,11,3,mobile,20.0,47,NA,2,0,3124,en,5,0,0.318,52,dog,Taurus,95,purple,r_7503,purple_dog,0
92,99.93,card,11,3,desktop,46.2,55,NA,3,0,4199,de,7,0,0.057,401,elephant,Capricorn,67,green,r_4953,green_elephant,1
93,114.43,card,1,5,desktop,33.6,75,NA,4,0,3531,en,5,0,0.096,87,dog,Capricorn,97,green,r_9003,green_dog,0
94,65.91,card,5,2,mobile,15.9,33,EU,7,0,1896,en,9,0,0.093,143,elephant,Aquarius,75,light,r_5505,light_elephant,0
95,117.91,card,4,1,desktop,9.0,71,EU,4,0,4305,es,5,0,0.056,216,owl,Sagittarius,59,dark,r_1911,dark_owl,0
96,54.47,card,18,3,desktop,16.6,58,NA,4,0,4320,pt,1,0,0.515,15,owl,Leo,93,light,r_1363,light_owl,0
97,59.17,card,20,5,mobile,4.5,58,NA,1,0,116,en,5,0,0.267,204,owl,Taurus,39,purple,r_1810,purple_owl,0
98,44.63,google_pay,14,1,mobile,12.0,27,EU,3,0,2232,en,3,1,0.124,125,tiger,Gemini,15,purple,r_8490,purple_tiger,0
99,2.06,card,9,1,mobile,30.3,31,EU,3,0,4063,es,9,0,0.044,141,tiger,Libra,87,light,r_1827,light_tiger,0
100,9.13,card,6,3,mobile,36.8,32,NA,2,0,641,en,1,0,0.51,83,tiger,Pisces,42,blue,r_9741,blue_tiger,0
101,2.55,card,18,2,mobile,7.9,76,EU,4,0,2490,es,5,0,0.347,98,owl,Aries,6,purple,r_6709,purple_owl,0
102,80.94,card,7,1,desktop,18.2,73,EU,3,0,3767,fr,1,0,0.175,292,owl,Virgo,40,green,r_7956,green_owl,0
103,30.19,card,14,7,mobile,15.1,77,EU,1,0,3790,de,8,1,0.408,169,dog,Capricorn,39,green,r_3519,green_dog,0
104,56.83,card,22,1,mobile,25.1,33,EU,2,0,1421,en,6,1,0.019,214,dog,Pisces,91,light,r_7306,light_dog,0
105,190.5,card,3,2,mobile,16.6,61,LATAM,3,0,1938,de,8,0,0.138,295,tiger,Aquarius,11,blue,r_4899,blue_tiger,0
106,22.94,paypal,12,2,mobile,47.1,44,EU,3,0,2150,en,4,0,0.296,207,dog,Scorpio,9,green,r_3943,green_dog,0
107,42.26,card,4,2,desktop,3.7,67,NA,4,0,1907,es,4,0,0.5,195,dog,Capricorn,7,green,r_5398,green_dog,0
108,112.7,card,10,2,desktop,42.6,29,NA,0,1,1387,de,3,0,0.046,374,rabbit,Libra,94,green,r_8098,green_rabbit,0
109,20.78,card,15,7,desktop,15.7,46,NA,3,0,1015,de,2,0,0.062,11,cat,Cancer,32,purple,r_1508,purple_cat,0
110,6.41,card,19,3,desktop,4.0,76,EU,2,0,601,en,5,0,0.306,212,owl,Capricorn,90,light,r_4595,light_owl,0
111,27.37,card,17,2,mobile,14.5,40,NA,3,0,2241,en,7,0,0.473,317,elephant,Sagittarius,80,green,r_2546,green_elephant,0
112,14.06,card,14,2,desktop,2.6,30,EU,2,0,4144,en,6,1,0.635,101,owl,Sagittarius,12,purple,r_3349,purple_owl,0
113,212.4,card,0,3,mobile,6.6,70,APAC,4,0,290,pt,8,1,0.434,61,owl,Pisces,16,purple,r_2146,purple_owl,0
114,132.07,card,7,1,mobile,23.5,18,EU,5,0,483,en,4,0,0.472,269,elephant,Taurus,60,blue,r_4919,blue_elephant,0
115,80.28,card,3,7,mobile,30.0,28,NA,2,0,4143,fr,2,1,0.248,0,dog,Taurus,72,blue,r_7929,blue_dog,0
116,164.12,card,8,1,mobile,3.8,30,NA,4,0,3887,fr,8,0,0.26,281,rabbit,Leo,72,green,r_289,green_rabbit,0
117,130.24,card,18,3,mobile,35.7,75,LATAM,3,0,3568,fr,8,0,0.056,16,dog,Scorpio,90,blue,r_4678,blue_dog,0
118,16.52,apple_pay,6,5,desktop,24.4,26,EU,2,0,2574,en,1,1,0.459,223,dog,Leo,37,purple,r_1978,purple_dog,0
119,178.47,paypal,14,5,desktop,37.7,64,EU,5,0,1591,it,4,0,0.49,209,rabbit,Capricorn,1,blue,r_5131,blue_rabbit,0
120,62.01,bank_transfer,2,1,mobile,4.0,41,EU,6,0,2226,fr,4,1,0.574,142,tiger,Gemini,53,blue,r_8569,blue_tiger,0
121,131.79,bank_transfer,11,3,mobile,2.0,79,APAC,3,0,2104,en,2,0,0.446,138,dog,Leo,10,light,r_9976,light_dog,0
122,181.14,google_pay,22,1,mobile,13.5,20,EU,1,0,831,en,1,0,0.21,189,rabbit,Aquarius,82,light,r_5210,light_rabbit,0
123,30.62,paypal,1,5,mobile,16.6,46,EU,7,0,3220,en,4,1,0.749,255,rabbit,Sagittarius,38,purple,r_4641,purple_rabbit,0
124,9.33,paypal,18,2,desktop,38.8,22,APAC,3,0,590,en,7,1,0.322,100,elephant,Aries,87,dark,r_6201,dark_elephant,0
125,20.69,card,23,1,mobile,11.8,62,APAC,3,0,4396,en,9,1,0.208,123,tiger,Sagittarius,86,blue,r_9772,blue_tiger,0
126,44.56,card,6,5,desktop,26.1,70,ME,3,0,3894,it,9,0,0.381,73,rabbit,Scorpio,63,dark,r_6009,dark_rabbit,0
127,136.31,paypal,10,2,mobile,28.6,40,ME,2,0,3867,pt,2,1,0.274,400,elephant,Aquarius,43,purple,r_8224,purple_elephant,0
128,157.71,google_pay,18,1,mobile,7.4,34,EU,3,0,2518,en,3,0,0.18,142,tiger,Aries,57,green,r_2838,green_tiger,0
129,0.56,card,7,2,desktop,28.6,64,EU,3,0,253,en,6,1,0.436,117,tiger,Aquarius,91,blue,r_4384,blue_tiger,0
130,57.19,paypal,12,1,mobile,17.3,33,NA,3,1,2245,en,5,1,0.236,325,cat,Virgo,67,green,r_8423,green_cat,0
131,43.22,card,8,14,mobile,15.1,43,NA,6,1,338,de,2,1,0.471,479,dog,Sagittarius,88,light,r_7374,light_dog,0
132,20.09,card,1,2,desktop,15.0,29,NA,2,0,1831,fr,8,1,0.099,249,dog,Leo,72,purple,r_2426,purple_dog,0
133,10.21,card,17,3,mobile,12.1,30,EU,4,0,2351,es,1,0,0.506,89,dog,Aquarius,32,blue,r_3332,blue_dog,0
134,32.95,card,14,7,mobile,22.0,24,APAC,2,0,4130,en,3,0,0.216,287,owl,Leo,9,blue,r_4307,blue_owl,0
135,229.05,card,22,2,desktop,50.5,44,NA,1,0,4901,en,8,1,0.299,75,rabbit,Aries,48,green,r_6762,green_rabbit,0
136,31.23,paypal,10,2,mobile,10.1,62,NA,3,0,2263,en,9,0,0.135,248,elephant,Capricorn,8,light,r_3314,light_elephant,0
137,58.52,bank_transfer,23,1,tablet,33.5,64,EU,3,0,335,it,5,0,0.126,172,owl,Capricorn,74,purple,r_598,purple_owl,0
138,97.13,bank_transfer,14,7,mobile,19.9,71,NA,1,0,2351,de,6,0,0.438,329,elephant,Sagittarius,91,dark,r_1715,dark_elephant,0
139,36.16,card,20,5,desktop,23.5,58,LATAM,5,0,4988,en,2,0,0.224,31,elephant,Virgo,27,blue,r_4465,blue_elephant,0
140,285.42,bank_transfer,17,1,mobile,33.4,72,APAC,1,0,3489,en,6,0,0.372,88,cat,Leo,63,light,r_3041,light_cat,0
141,262.56,card,13,2,mobile,20.3,59,LATAM,1,0,148,en,7,0,0.276,111,tiger,Pisces,87,purple,r_3653,purple_tiger,1
142,23.2,card,20,7,desktop,5.2,68,APAC,4,0,641,en,8,0,0.074,192,dog,Taurus,92,light,r_7428,light_dog,0
143,55.01,paypal,18,3,mobile,3.4,52,EU,10,0,584,en,8,0,0.24,110,elephant,Gemini,6,light,r_7859,light_elephant,0
144,28.63,card,12,3,desktop,15.7,18,NA,2,0,1720,pt,1,1,0.113,150,dog,Cancer,33,purple,r_6793,purple_dog,0
145,26.82,card,15,3,mobile,11.9,28,LATAM,6,1,511,en,4,0,0.239,41,tiger,Taurus,94,dark,r_44,dark_tiger,0
146,3.01,card,1,5,mobile,14.4,49,EU,5,0,3257,fr,8,0,0.302,329,cat,Aries,49,purple,r_5278,purple_cat,0
147,75.24,paypal,1,7,mobile,12.5,75,NA,3,0,772,it,4,1,0.451,28,cat,Scorpio,31,purple,r_3166,purple_cat,0
148,55.88,card,16,5,desktop,5.1,19,EU,2,0,2931,fr,5,0,0.455,201,rabbit,Aquarius,68,light,r_9065,light_rabbit,0
149,4.23,paypal,21,7,desktop,10.0,59,NA,1,0,1353,en,6,1,0.166,255,tiger,Leo,27,dark,r_3694,dark_tiger,0
150,26.13,paypal,21,5,mobile,12.5,18,ME,3,0,1209,it,8,1,0.12,194,rabbit,Leo,25,blue,r_6256,blue_rabbit,0
151,191.11,paypal,19,1,desktop,25.9,58,ME,2,0,3394,es,9,1,0.157,141,tiger,Cancer,61,dark,r_8441,dark_tiger,0
152,21.91,bank_transfer,17,1,mobile,11.3,54,LATAM,5,0,4195,en,4,0,0.267,464,cat,Capricorn,16,light,r_5751,light_cat,0
153,12.52,card,9,7,desktop,20.8,43,LATAM,3,0,1524,fr,6,0,0.228,374,tiger,Pisces,66,green,r_4825,green_tiger,0
154,53.78,card,11,1,mobile,15.8,43,APAC,3,0,1119,fr,5,0,0.197,115,rabbit,Libra,23,green,r_5543,green_rabbit,0
155,339.52,card,2,5,mobile,37.0,44,EU,2,0,2845,en,3,0,0.176,291,cat,Libra,5,dark,r_4928,dark_cat,0
156,22.17,card,5,5,mobile,30.4,38,ME,0,0,4674,en,4,0,0.429,26,owl,Gemini,3,light,r_5269,light_owl,0
157,89.21,paypal,19,2,mobile,11.6,53,EU,2,0,4620,de,1,0,0.285,355,dog,Libra,86,green,r_2028,green_dog,0
158,114.71,card,4,2,desktop,16.1,78,EU,3,1,4119,en,6,0,0.321,171,dog,Gemini,79,green,r_1700,green_dog,0
159,21.71,card,20,1,desktop,2.8,62,EU,1,0,2344,en,5,1,0.204,223,tiger,Aries,13,blue,r_3891,blue_tiger,0
160,104.22,paypal,7,1,desktop,30.9,63,LATAM,1,0,3564,en,2,1,0.138,133,dog,Gemini,40,light,r_4709,light_dog,0
161,36.68,paypal,17,5,mobile,32.0,72,EU,3,0,1133,en,9,0,0.49,215,rabbit,Cancer,20,light,r_1969,light_rabbit,0
162,80.04,paypal,15,1,desktop,18.3,35,EU,3,0,1993,fr,2,0,0.191,97,owl,Taurus,55,blue,r_6078,blue_owl,0
163,80.31,bank_transfer,13,7,mobile,26.7,70,NA,2,0,2226,en,7,0,0.217,11,tiger,Leo,13,purple,r_655,purple_tiger,1
164,61.39,paypal,5,2,desktop,23.2,51,EU,7,0,497,fr,3,1,0.175,133,owl,Capricorn,13,purple,r_7625,purple_owl,0
165,7.57,paypal,10,5,mobile,2.6,40,EU,6,0,3772,en,6,0,0.206,224,dog,Gemini,95,purple,r_292,purple_dog,0
166,144.29,card,5,1,mobile,23.4,61,EU,2,0,4799,fr,6,1,0.478,282,elephant,Leo,72,light,r_3566,light_elephant,0
167,30.94,google_pay,4,3,desktop,6.1,20,NA,1,0,3912,fr,4,0,0.202,151,dog,Taurus,27,blue,r_8650,blue_dog,0
168,16.51,card,14,2,mobile,14.5,58,EU,4,0,586,en,6,1,0.087,47,owl,Aries,84,light,r_9378,light_owl,0
169,3.33,card,5,1,desktop,20.5,68,NA,5,0,3769,en,2,1,0.39,176,tiger,Scorpio,3,light,r_5321,light_tiger,0
170,71.5,card,20,3,mobile,49.1,45,EU,2,0,1838,en,9,0,0.043,60,cat,Aquarius,99,light,r_4523,light_cat,0
171,90.55,paypal,15,7,desktop,15.3,35,APAC,0,0,2593,en,4,1,0.063,137,dog,Pisces,36,light,r_3013,light_dog,0
172,1.34,apple_pay,17,1,mobile,10.0,45,EU,4,0,1882,de,8,0,0.464,134,tiger,Leo,43,purple,r_4119,purple_tiger,0
173,57.41,card,20,2,mobile,14.3,53,EU,3,0,3564,es,9,0,0.06,349,owl,Leo,71,dark,r_5334,dark_owl,0
174,20.55,card,0,5,mobile,15.5,21,LATAM,4,0,2310,pt,6,0,0.45,20,dog,Sagittarius,70,dark,r_4435,dark_dog,0
175,82.89,bank_transfer,2,7,desktop,1.1,40,APAC,3,0,1603,fr,4,1,0.168,17,tiger,Capricorn,69,blue,r_3345,blue_tiger,0
176,15.33,apple_pay,22,1,mobile,30.2,75,APAC,3,0,421,en,2,1,0.331,177,cat,Scorpio,91,dark,r_2316,dark_cat,0
177,93.94,card,19,1,mobile,25.8,28,NA,5,0,3568,fr,6,0,0.342,347,rabbit,Leo,58,light,r_5889,light_rabbit,0
178,39.12,card,23,1,desktop,2.7,49,ME,1,0,2501,en,2,0,0.346,24,cat,Capricorn,84,light,r_5756,light_cat,0
179,220.83,paypal,2,1,mobile,25.6,35,APAC,5,0,112,es,5,1,0.21,121,cat,Taurus,22,light,r_2729,light_cat,0
180,11.84,card,6,1,desktop,13.4,39,EU,0,0,1846,de,2,0,0.43,339,dog,Gemini,45,dark,r_1027,dark_dog,0
181,33.37,bank_transfer,13,2,mobile,36.5,26,EU,4,0,42,es,4,1,0.138,287,dog,Libra,83,green,r_9307,green_dog,0
182,9.64,card,17,2,mobile,43.5,30,NA,0,0,3794,de,8,0,0.604,95,cat,Taurus,43,light,r_8662,light_cat,0
183,206.9,card,23,2,mobile,30.9,37,EU,2,0,2231,en,3,0,0.062,95,rabbit,Virgo,88,purple,r_278,purple_rabbit,0
184,167.87,card,14,1,desktop,29.8,66,APAC,6,0,3874,fr,5,0,0.229,14,tiger,Virgo,34,light,r_4371,light_tiger,0
185,23.87,card,12,2,mobile,16.5,79,NA,3,1,1312,en,1,0,0.018,291,elephant,Aries,34,green,r_7531,green_elephant,0
186,86.3,card,18,1,desktop,18.0,79,APAC,4,0,413,it,7,1,0.545,212,elephant,Taurus,7,dark,r_3124,dark_elephant,0
187,135.96,card,21,1,desktop,21.5,73,EU,2,0,931,en,3,0,0.453,120,elephant,Pisces,38,green,r_9107,green_elephant,0
188,64.81,paypal,1,2,desktop,6.3,73,NA,3,0,4936,it,5,0,0.065,175,owl,Sagittarius,83,blue,r_7245,blue_owl,0
